canonical_symbol_candidate,consensus_note,consensus_status,fasset_compliant,fasset_reference_ids,methodologies_count,sc_malaysia_compliant,sc_reference_ids,shariah_review_bureau_compliant,srb_reference_ids
HOT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-158-holo""]",1,False,[],False,[]
HTX,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-170-htx""]",1,False,[],False,[]
ICNT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-186-impossible-cloud-network""]",1,False,[],False,[]
ICP,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-047-internet-computer""]",2,False,[],True,"[""SRB-09-ICP""]"
ILV,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-148-illuvium""]",1,False,[],False,[]
IMX,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-065-immutable""]",1,False,[],False,[]
JASMY,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-118-jasmycoin""]",1,False,[],False,[]
JTO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-123-jito""]",1,False,[],False,[]
JUP,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-072-jupiter""]",1,False,[],False,[]
KAS,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-050-kaspa""]",1,False,[],False,[]
KCS,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-169-kucoin-token""]",1,False,[],False,[]
KDA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-143-kadena""]",1,False,[],False,[]
KLAY,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-109-klaytn""]",1,False,[],False,[]
KNC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-149-knc""]",1,False,[],False,[]
KSM,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-076-kusama""]",1,False,[],False,[]
LDO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-056-lido-dao""]",1,False,[],False,[]
LEO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-054-unus-sed-leo""]",1,False,[],False,[]
LINK,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-009-chainlink""]",3,True,"[""SCMY-08-LINK""]",True,"[""SRB-16-LINK""]"
LPT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-135-lpt""]",1,False,[],False,[]
LRC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-138-loopring""]",1,False,[],False,[]
LTC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-008-litecoin""]",3,True,"[""SCMY-04-LTC""]",True,"[""SRB-29-LTC""]"
LUNA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-152-terra""]",1,False,[],False,[]
LUNC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-151-luna-classic""]",1,False,[],False,[]
MANA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-095-decentraland""]",1,False,[],False,[]
MASK,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-154-mask-network""]",1,False,[],False,[]
MATIC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-014-polygon""]",3,True,"[""SCMY-10-MATIC""]",True,"[""SRB-31-MATIC""]"
MIOTA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-022-iota""]",1,False,[],False,[]
MNDE,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-124-marinade""]",1,False,[],False,[]
MNT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-042-mantle""]",1,False,[],False,[]
NEAR,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-075-near-protocol""]",2,False,[],True,"[""SRB-17-NEAR""]"
NEO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-024-neo""]",1,False,[],False,[]
NOT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-099-notcoin""]",1,False,[],False,[]
OCEAN,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-115-ocean-protocol""]",1,False,[],False,[]
OKXBTC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-055-okx-wrapped-btc""]",1,False,[],False,[]
ONDO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-048-ondo""]",1,False,[],False,[]
ONE,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-141-harmony""]",1,False,[],False,[]
OP,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-063-optimism""]",1,False,[],False,[]
ORDI,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-161-ordi""]",1,False,[],False,[]
OSMO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-084-osmosis""]",1,False,[],False,[]
PAXG,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-049-pax-gold""]",1,False,[],False,[]
POL,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-045-polygon""]",1,False,[],False,[]
PYTH,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-122-pyth-network""]",1,False,[],False,[]
PYUSD,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-044-paypal-usd""]",1,False,[],False,[]
QNT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-067-quant""]",1,False,[],False,[]
QTUM,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-157-qtum""]",1,False,[],False,[]
QUBIC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-179-qubic""]",1,False,[],False,[]
RAY,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-041-raydium""]",1,False,[],False,[]
RENDER,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-032-render"", ""FASSET-051-render""]",1,False,[],False,[]
RETH,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-058-rocket-pool-eth""]",1,False,[],False,[]
REZ,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-121-renzo""]",1,False,[],False,[]
RON,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-093-ronin""]",1,False,[],False,[]
ROSE,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-145-oasis-network""]",1,False,[],False,[]
RPL,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-132-rocket-pool""]",1,False,[],False,[]
RUNE,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-066-thorchain""]",1,False,[],False,[]
RVN,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-167-ravencoin""]",1,False,[],False,[]
S,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-078-sonic""]",1,False,[],False,[]
SAND,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-094-the-sandbox""]",1,False,[],False,[]
SATS,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-160-sats""]",1,False,[],False,[]
SC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-089-siacoin""]",1,False,[],False,[]
SCRT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-144-secret""]",1,False,[],False,[]
SEI,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-085-sei""]",1,False,[],False,[]
SN3,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-187-emplar""]",1,False,[],False,[]
SNT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-139-status""]",1,False,[],False,[]
SOL,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-004-solana""]",3,True,"[""SCMY-06-SOL""]",True,"[""SRB-22-SOL""]"
SOLV,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-125-solv-protocol""]",1,False,[],False,[]
SOSO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-180-sosovalue""]",1,False,[],False,[]
SSV,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-133-ssv-network""]",1,False,[],False,[]
STETH,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-057-staked-ether""]",1,False,[],False,[]
STORJ,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-088-storj""]",1,False,[],False,[]
STRK,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-130-starknet""]",1,False,[],False,[]
STSOL,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-071-lido-staked-sol""]",1,False,[],False,[]
STX,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-035-stacks""]",1,False,[],False,[]
SUI,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,False,[],1,False,[],True,"[""SRB-13-SUI""]"
SUSD,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-105-susd""]",1,False,[],False,[]
SUSHI,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-146-sushiswap""]",1,False,[],False,[]
SUT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-183-supertrust""]",1,False,[],False,[]
TAO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-043-bittensor""]",1,False,[],False,[]
THETA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-074-theta-network""]",2,False,[],True,"[""SRB-12-THETA""]"
TIA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-064-celestia""]",1,False,[],False,[]
TON,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-030-toncoin"", ""FASSET-100-toncoin""]",2,False,[],True,"[""SRB-08-TON""]"
TRX,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-016-tron""]",2,False,[],True,"[""SRB-14-TRX""]"
TUSD,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-101-trueusd""]",1,False,[],False,[]
TWT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-040-trust-wallet""]",1,False,[],False,[]
UDS,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-174-undeads-games""]",1,False,[],False,[]
ULTIMA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-178-ultima""]",1,False,[],False,[]
UNI,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-010-uniswap""]",3,True,"[""SCMY-09-UNI""]",True,"[""SRB-23-UNI""]"
USDC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-028-usd-coin""]",2,False,[],True,"[""SRB-04-USDC""]"
USDD,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-102-usdd""]",1,False,[],False,[]
USDP,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-103-usdp""]",1,False,[],False,[]
USDT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-021-tether""]",2,False,[],True,"[""SRB-03-USDT""]"
USTC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-159-terrausd-classic""]",1,False,[],False,[]
VCNT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-184-vicicoin""]",1,False,[],False,[]
VET,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-018-vechain""]",1,False,[],False,[]
W,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-107-wormhole""]",1,False,[],False,[]
WAVES,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-156-waves""]",1,False,[],False,[]
WAXP,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-165-wax""]",1,False,[],False,[]
WLD,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-046-worldcoin""]",2,True,"[""SCMY-14-WLD""]",False,[]
WMT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-116-world-mobile-token""]",1,False,[],False,[]
XEC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-166-ecash""]",1,False,[],False,[]
XLM,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-012-stellar""]",3,True,"[""SCMY-15-XLM""]",True,"[""SRB-27-XLM""]"
XMR,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-019-monero""]",2,False,[],True,"[""SRB-07-XMR""]"
XRP,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-005-xrp""]",3,True,"[""SCMY-03-XRP""]",True,"[""SRB-05-XRP""]"
XTZ,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-025-tezos""]",2,False,[],True,"[""SRB-30-XTZ""]"
ZANO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-177-zano""]",1,False,[],False,[]
ZETA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-164-zetachain""]",1,False,[],False,[]
ZIL,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-083-zilliqa""]",1,False,[],False,[]
