assessment_date_source,asset_name_source,authority_name,auto_publish,canonical_symbol_candidate,commercial_display_allowed,external_status_source,index_url,manual_verification_required,methodology_display_name,methodology_id,normalized_status,publication_state,reason_summary_paraphrased,reason_summary_provenance,retrieved_at,rights_state,source_characterization,source_row_id,source_url,status_detail,symbol_source
Feb 2024,Cosmos,Shariyah Review Bureau W.L.L.,False,ATOM,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Interoperability network token used for fees, staking and governance; no identified breach in the assessment.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-11-ATOM,https://shariyah.net/cryptocurrencies/cosmos/,compliant,ATOM
Dec 2024,Theta Network,Shariyah Review Bureau W.L.L.,False,THETA,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Decentralized video and content-delivery infrastructure with staking and governance utility.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-12-THETA,https://shariyah.net/cryptocurrencies/theta/,compliant,THETA
Apr 2025,Sui,Shariyah Review Bureau W.L.L.,False,SUI,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Layer-1 token used for gas, staking and governance; permissibility of applications remains dependent on how the network is used.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-13-SUI,https://shariyah.net/cryptocurrencies/sui/,compliant,SUI
Apr 2025,TRON,Shariyah Review Bureau W.L.L.,False,TRX,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Smart-contract and high-volume transfer network token used for fees, staking and network activity.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-14-TRX,https://shariyah.net/cryptocurrencies/tron/,compliant,TRX
Dec 2024,Filecoin,Shariyah Review Bureau W.L.L.,False,FIL,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Decentralized storage marketplace token used to pay for and secure verifiable storage services.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-15-FIL,https://shariyah.net/cryptocurrencies/filecoin/,compliant,FIL
Nov 2023,Chainlink,Shariyah Review Bureau W.L.L.,False,LINK,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Oracle-network token used to compensate and secure data providers and node operators.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-16-LINK,https://shariyah.net/cryptocurrencies/chainlink/,compliant,LINK
Jul 2024,NEAR Protocol,Shariyah Review Bureau W.L.L.,False,NEAR,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Smart-contract infrastructure token used for network fees, staking and governance.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-17-NEAR,https://shariyah.net/cryptocurrencies/near/,compliant,NEAR
Aug 2021,Cardano,Shariyah Review Bureau W.L.L.,False,ADA,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Public smart-contract network token used for payments, fees, staking and governance.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-18-ADA,https://shariyah.net/cryptocurrencies/cardano/,compliant,ADA
Sep 2024,Helium,Shariyah Review Bureau W.L.L.,False,HNT,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Decentralized wireless-connectivity network token that incentivizes physical network coverage and participation.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-19-HNT,https://shariyah.net/cryptocurrencies/helium/,compliant,HNT
Nov 2023,Ethereum Classic,Shariyah Review Bureau W.L.L.,False,ETC,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Public proof-of-work smart-contract network and native fee/value-transfer asset.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-20-ETC,https://shariyah.net/cryptocurrencies/ethereum-classic/,compliant,ETC
Nov 2023,Binance USD,Shariyah Review Bureau W.L.L.,False,BUSD,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Dollar-referenced stablecoin used for payments and settlement; source status should be retained historically because issuance conditions have changed.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-21-BUSD,https://shariyah.net/cryptocurrencies/binance-usd/,compliant,BUSD
May 2022,Solana,Shariyah Review Bureau W.L.L.,False,SOL,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"High-throughput smart-contract network token used for fees, staking and network security.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-22-SOL,https://shariyah.net/cryptocurrencies/solana/,compliant,SOL
Jul 2023,Uniswap,Shariyah Review Bureau W.L.L.,False,UNI,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Governance token for a decentralized exchange protocol; the assessment treats the token separately from impermissible use of particular pools or assets.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-23-UNI,https://shariyah.net/cryptocurrencies/uniswap/,compliant,UNI
Jun 2022; changed to compliant,Dogecoin,Shariyah Review Bureau W.L.L.,False,DOGE,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Payment-oriented cryptocurrency; the current status was changed from neutral to compliant.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-24-DOGE,https://shariyah.net/cryptocurrencies/dogecoin/,compliant_after_reassessment,DOGE
Sep 2022; changed to compliant,Polkadot,Shariyah Review Bureau W.L.L.,False,DOT,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Interoperability and shared-security network token used for staking, governance and parachain functions.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-25-DOT,https://shariyah.net/cryptocurrencies/polkadot/,compliant_after_reassessment,DOT
Sep 2022,Avalanche,Shariyah Review Bureau W.L.L.,False,AVAX,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Smart-contract and subnet network token used for fees, staking and network security.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-26-AVAX,https://shariyah.net/cryptocurrencies/avalanche/,compliant,AVAX
Aug 2021,Stellar,Shariyah Review Bureau W.L.L.,False,XLM,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Payments and asset-transfer network focused on low-cost cross-border settlement.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-27-XLM,https://shariyah.net/cryptocurrencies/stellar/,compliant,XLM
Dec 2022,Algorand,Shariyah Review Bureau W.L.L.,False,ALGO,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Smart-contract network token used for fees, consensus participation and governance.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-28-ALGO,https://shariyah.net/cryptocurrencies/algorand/,compliant,ALGO
Dec 2022,Litecoin,Shariyah Review Bureau W.L.L.,False,LTC,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Payment and value-transfer cryptocurrency with a Bitcoin-derived proof-of-work design.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-29-LTC,https://shariyah.net/cryptocurrencies/litecoin/,compliant,LTC
Dec 2022,Tezos,Shariyah Review Bureau W.L.L.,False,XTZ,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Self-amending smart-contract network token used for fees, validation and on-chain governance.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-30-XTZ,https://shariyah.net/cryptocurrencies/tezos/,compliant,XTZ
Sep 2022,Polygon,Shariyah Review Bureau W.L.L.,False,MATIC,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Ethereum-scaling network token used for fees, staking and governance; migration to POL must be treated as a separate current-identity check.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-31-MATIC,https://shariyah.net/cryptocurrencies/polygon/,compliant,MATIC
